# Teff,# log_g,# Mbol,# BC,# U,# B,# V,# R,# I,# J,# H,# K,# u,# g,# r,# i,# z,# G,# G_BP,# G_RP,# G/R,#G_BP/R,#G_RP/R,Age
2500,7.874,17.725,0.275,21.185,19.496,17.45,16.737,16.764,17.224,17.656,18.358,22.106,18.53,16.843,17.134,17.101,17.222,17.703,16.624,17.234,17.699,16.624,11810000000
2750,7.873,17.31,0.083,20.746,19.177,17.227,16.444,16.164,16.56,17.042,17.575,21.648,18.257,16.626,16.593,16.536,16.863,17.476,16.155,16.875,17.472,16.162,11150000000
3000,7.873,16.932,-0.085,20.316,18.868,17.017,16.193,15.693,15.961,16.468,16.882,21.203,17.993,16.436,16.177,16.069,16.552,17.265,15.773,16.563,17.261,15.783,10550000000
3250,7.873,16.584,-0.221,19.875,18.553,16.804,15.972,15.342,15.407,15.896,16.209,20.754,17.727,16.252,15.864,15.7,16.285,17.053,15.47,16.295,17.049,15.478,9929000000
3500,7.872,16.261,-0.319,19.406,18.216,16.58,15.77,15.085,14.904,15.328,15.571,20.279,17.441,16.063,15.626,15.422,16.053,16.829,15.23,16.062,16.826,15.237,9279000000
3750,7.872,15.96,-0.384,18.919,17.865,16.343,15.571,14.881,14.476,14.776,14.942,19.789,17.142,15.864,15.425,15.206,15.838,16.591,15.028,15.846,16.587,15.034,8632000000
4000,7.871,15.677,-0.418,18.398,17.491,16.095,15.37,14.699,14.143,14.26,14.345,19.264,16.825,15.655,15.238,15.024,15.627,16.337,14.841,15.634,16.334,14.847,7821000000
4250,7.87,15.411,-0.417,17.834,17.093,15.829,15.156,14.518,13.902,13.819,13.828,18.695,16.486,15.43,15.047,14.85,15.405,16.062,14.653,15.412,16.058,14.659,7040000000
4500,7.869,15.16,-0.378,17.229,16.665,15.538,14.921,14.324,13.718,13.484,13.455,18.084,16.12,15.182,14.841,14.669,15.162,15.757,14.45,15.169,15.754,14.456,6208000000
4750,7.867,14.92,-0.318,16.625,16.235,15.238,14.677,14.123,13.56,13.251,13.181,17.473,15.747,14.923,14.626,14.483,14.906,15.441,14.24,14.913,15.438,14.245,5282000000
5000,7.864,14.69,-0.253,16.053,15.821,14.942,14.432,13.923,13.41,13.084,12.991,16.894,15.385,14.666,14.411,14.298,14.65,15.126,14.029,14.657,15.123,14.035,4079000000
5250,7.859,14.466,-0.195,15.515,15.435,14.661,14.199,13.73,13.268,12.95,12.859,16.35,15.043,14.421,14.206,14.12,14.403,14.824,13.828,14.41,14.821,13.833,2933000000
5500,7.854,14.251,-0.154,15.016,15.084,14.404,13.985,13.553,13.136,12.834,12.753,15.847,14.733,14.197,14.017,13.956,14.174,14.546,13.642,14.181,14.543,13.648,2326000000
6000,7.847,13.856,-0.117,14.179,14.504,13.972,13.625,13.257,12.914,12.645,12.59,15.006,14.215,13.821,13.7,13.681,13.784,14.072,13.331,13.791,14.069,13.337,1802000000
6500,7.842,13.496,-0.12,13.565,14.045,13.616,13.327,13.012,12.732,12.492,12.461,14.394,13.795,13.51,13.439,13.455,13.46,13.683,13.075,13.467,13.68,13.079,1465000000
7000,7.838,13.166,-0.142,13.099,13.665,13.308,13.065,12.796,12.574,12.366,12.354,13.929,13.441,13.238,13.208,13.255,13.176,13.351,12.848,13.183,13.348,12.852,1210000000
7500,7.835,12.858,-0.173,12.723,13.336,13.031,12.827,12.597,12.43,12.257,12.259,13.555,13.13,12.991,12.997,13.071,12.919,13.058,12.64,12.927,13.054,12.644,1011000000
