#Teff,#log g,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,7.886,16.617,-1.005,19.684,19.052,17.621,16.705,15.823,14.845,14.444,14.564,20.527,18.403,17.063,16.437,16.061,16.914,17.821,16.008,16.918,17.818,16.011,8524000000
3500,7.886,16.294,-0.79,18.858,18.377,17.084,16.26,15.459,14.598,14.257,14.393,19.701,17.786,16.588,16.045,15.728,16.48,17.285,15.629,16.486,17.281,15.632,8024000000
3750,7.886,15.994,-0.619,18.126,17.781,16.613,15.871,15.142,14.385,14.083,14.204,18.968,17.241,16.173,15.703,15.44,16.096,16.809,15.297,16.102,16.806,15.302,7518000000
4000,7.885,15.713,-0.489,17.492,17.265,16.203,15.528,14.861,14.189,13.917,14.013,18.332,16.768,15.81,15.401,15.182,15.753,16.392,15.003,15.76,16.388,15.008,6949000000
4250,7.885,15.449,-0.377,16.904,16.787,15.826,15.215,14.608,14.017,13.771,13.851,17.741,16.33,15.478,15.128,14.951,15.437,16.005,14.737,15.444,16.001,14.743,6335000000
4500,7.884,15.199,-0.29,16.389,16.366,15.489,14.933,14.379,13.86,13.639,13.705,17.224,15.943,15.18,14.881,14.742,15.15,15.657,14.496,15.157,15.654,14.501,5751000000
4750,7.884,14.963,-0.222,15.915,15.981,15.186,14.68,14.174,13.72,13.514,13.553,16.749,15.59,14.913,14.66,14.555,14.888,15.341,14.28,14.896,15.338,14.286,5218000000
5000,7.883,14.739,-0.175,15.495,15.639,14.914,14.451,13.987,13.588,13.393,13.404,16.328,15.275,14.672,14.46,14.384,14.65,15.056,14.083,14.658,15.053,14.089,4668000000
5250,7.882,14.524,-0.141,15.118,15.329,14.665,14.239,13.813,13.461,13.277,13.263,15.949,14.988,14.45,14.273,14.222,14.429,14.794,13.899,14.436,14.791,13.905,3861000000
5500,7.88,14.318,-0.116,14.768,15.042,14.434,14.043,13.651,13.344,13.17,13.134,15.599,14.722,14.245,14.101,14.074,14.223,14.55,13.73,14.23,14.547,13.736,2997000000
5750,7.878,14.12,-0.101,14.446,14.777,14.221,13.861,13.501,13.234,13.07,13.019,15.276,14.477,14.055,13.94,13.934,14.03,14.324,13.571,14.037,14.32,13.577,2427000000
6000,7.876,13.93,-0.093,14.148,14.532,14.023,13.692,13.361,13.131,12.978,12.918,14.978,14.25,13.878,13.791,13.805,13.85,14.113,13.424,13.858,14.109,13.43,2049000000
6250,7.875,13.749,-0.091,13.875,14.306,13.84,13.534,13.229,13.033,12.892,12.831,14.705,14.04,13.714,13.651,13.683,13.682,13.917,13.285,13.689,13.913,13.291,1796000000
6500,7.873,13.575,-0.094,13.622,14.096,13.669,13.386,13.106,12.942,12.813,12.754,14.451,13.843,13.56,13.52,13.568,13.523,13.733,13.156,13.531,13.73,13.162,1605000000
6750,7.872,13.408,-0.101,13.386,13.9,13.509,13.249,12.992,12.857,12.739,12.684,14.216,13.661,13.417,13.398,13.462,13.375,13.562,13.035,13.383,13.558,13.041,1451000000
7000,7.871,13.247,-0.113,13.168,13.718,13.36,13.119,12.883,12.774,12.669,12.619,13.998,13.491,13.282,13.283,13.36,13.236,13.401,12.921,13.243,13.397,12.926,1321000000
7500,7.869,12.942,-0.145,12.776,13.388,13.087,12.88,12.681,12.62,12.536,12.5,13.605,13.181,13.035,13.069,13.171,12.978,13.107,12.709,12.985,13.103,12.714,1107000000
8000,7.867,12.656,-0.188,12.429,13.095,12.844,12.666,12.499,12.48,12.414,12.391,13.259,12.907,12.814,12.878,13.001,12.747,12.845,12.518,12.754,12.841,12.523,936100000
8500,7.864,12.387,-0.25,12.128,12.844,12.637,12.484,12.343,12.358,12.308,12.298,12.958,12.671,12.626,12.714,12.854,12.547,12.619,12.355,12.555,12.615,12.36,798700000
