#Teff,#log g,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,Age
2500,8.04,17.942,0.304,21.355,19.677,17.639,16.942,17.01,17.473,17.901,18.614,22.278,18.715,17.039,17.373,17.346,17.433,17.894,16.854,17.445,17.89,16.853,12470000000
2750,8.039,17.528,0.111,20.918,19.36,17.417,16.647,16.4,16.807,17.288,17.835,21.821,18.443,16.82,16.821,16.774,17.072,17.667,16.379,17.084,17.663,16.386,11980000000
3000,8.039,17.15,-0.055,20.494,19.053,17.205,16.393,15.92,16.21,16.718,17.142,21.383,18.18,16.627,16.396,16.301,16.757,17.454,15.991,16.769,17.45,16,11500000000
3250,8.039,16.801,-0.19,20.058,18.738,16.992,16.169,15.558,15.658,16.153,16.484,20.937,17.912,16.442,16.074,15.923,16.486,17.241,15.68,16.497,17.238,15.689,11040000000
3500,8.039,16.479,-0.293,19.598,18.409,16.772,15.966,15.293,15.152,15.59,15.85,20.472,17.634,16.256,15.83,15.636,16.253,17.022,15.435,16.262,17.018,15.443,10530000000
3750,8.038,16.178,-0.36,19.119,18.063,16.538,15.768,15.086,14.718,15.041,15.223,19.99,17.338,16.059,15.627,15.416,16.038,16.786,15.231,16.046,16.783,15.237,9919000000
4000,8.038,15.897,-0.395,18.606,17.694,16.292,15.569,14.903,14.374,14.526,14.633,19.473,17.025,15.853,15.44,15.231,15.828,16.536,15.044,15.836,16.532,15.05,9319000000
4250,8.037,15.631,-0.399,18.053,17.301,16.03,15.359,14.725,14.125,14.078,14.105,18.914,16.691,15.632,15.252,15.059,15.61,16.265,14.859,15.617,16.261,14.864,8676000000
4500,8.036,15.381,-0.366,17.462,16.883,15.747,15.131,14.536,13.938,13.73,13.713,18.317,16.333,15.39,15.051,14.882,15.372,15.968,14.661,15.379,15.965,14.667,7909000000
4750,8.035,15.143,-0.311,16.863,16.459,15.454,14.892,14.34,13.781,13.486,13.425,17.711,15.968,15.139,14.842,14.701,15.123,15.659,14.456,15.13,15.655,14.461,7083000000
5000,8.033,14.915,-0.248,16.296,16.05,15.164,14.653,14.144,13.634,13.315,13.227,17.138,15.61,14.887,14.632,14.52,14.872,15.349,14.25,14.879,15.346,14.256,6090000000
5250,8.03,14.695,-0.192,15.764,15.669,14.887,14.424,13.956,13.496,13.182,13.093,16.601,15.273,14.646,14.431,14.346,14.63,15.053,14.053,14.636,15.05,14.059,4769000000
