#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
3250,8.207,17.053,-1.046,20.182,19.541,18.1,17.176,16.288,15.299,14.854,14.869,21.026,18.888,17.536,16.904,16.523,17.384,18.299,16.474,17.388,18.296,16.477,9365000000
3500,8.207,16.731,-0.83,19.355,18.865,17.562,16.73,15.922,15.049,14.661,14.691,20.198,18.27,17.061,16.51,16.189,16.949,17.762,16.093,16.954,17.759,16.097,9042000000
3750,8.207,16.432,-0.649,18.61,18.258,17.081,16.332,15.597,14.83,14.489,14.521,19.452,17.715,16.637,16.16,15.893,16.557,17.277,15.754,16.562,17.274,15.758,8712000000
4000,8.207,16.151,-0.509,17.955,17.726,16.66,15.983,15.314,14.636,14.329,14.349,18.794,17.228,16.266,15.854,15.634,16.208,16.849,15.456,16.215,16.846,15.462,8368000000
4250,8.206,15.887,-0.393,17.36,17.243,16.28,15.668,15.06,14.462,14.187,14.197,18.197,16.786,15.932,15.58,15.402,15.89,16.459,15.189,15.897,16.456,15.194,8007000000
4500,8.206,15.639,-0.304,16.845,16.822,15.943,15.384,14.827,14.302,14.055,14.061,17.68,16.398,15.632,15.33,15.189,15.601,16.111,14.945,15.608,16.108,14.951,7640000000
4750,8.206,15.403,-0.233,16.37,16.435,15.636,15.128,14.62,14.16,13.935,13.929,17.204,16.043,15.362,15.107,15,15.337,15.792,14.726,15.344,15.789,14.732,7257000000
5000,8.206,15.179,-0.182,15.942,16.087,15.361,14.897,14.432,14.029,13.822,13.801,16.775,15.723,15.119,14.905,14.828,15.097,15.503,14.528,15.104,15.5,14.534,6806000000
5250,8.205,14.966,-0.145,15.559,15.774,15.111,14.686,14.26,13.907,13.714,13.679,16.391,15.434,14.897,14.72,14.669,14.876,15.24,14.346,14.883,15.237,14.352,6174000000
5500,8.204,14.762,-0.121,15.212,15.489,14.883,14.492,14.1,13.791,13.612,13.564,16.043,15.171,14.694,14.549,14.521,14.671,14.998,14.178,14.678,14.995,14.184,5446000000
5750,8.204,14.567,-0.105,14.892,15.227,14.672,14.312,13.951,13.684,13.518,13.461,15.723,14.927,14.506,14.391,14.385,14.481,14.774,14.022,14.488,14.771,14.028,4762000000
6000,8.203,14.38,-0.097,14.596,14.984,14.477,14.146,13.815,13.584,13.43,13.367,15.426,14.703,14.332,14.245,14.258,14.304,14.566,13.877,14.311,14.562,13.883,4115000000
6250,8.202,14.201,-0.095,14.324,14.76,14.295,13.99,13.685,13.489,13.347,13.285,15.154,14.494,14.169,14.107,14.138,14.137,14.371,13.741,14.144,14.368,13.747,3501000000
6500,8.201,14.028,-0.098,14.072,14.551,14.126,13.844,13.565,13.4,13.27,13.211,14.902,14.3,14.018,13.979,14.027,13.981,14.19,13.614,13.988,14.186,13.62,3019000000
6750,8.2,13.862,-0.107,13.839,14.357,13.969,13.708,13.451,13.315,13.197,13.142,14.668,14.119,13.876,13.858,13.921,13.834,14.02,13.495,13.842,14.017,13.5,2639000000
7000,8.199,13.702,-0.119,13.622,14.176,13.821,13.58,13.344,13.235,13.129,13.079,14.452,13.951,13.743,13.744,13.821,13.696,13.861,13.382,13.704,13.857,13.388,2315000000
