#Teff,#logg,#Mbol,#BC,#U,#B,#V,#R,#I,#J,#H,#K,#u,#g,#r,#i,#z,#G,#G_BP,#G_RP,#G/R,#G_BP/R,#G_RP/R,#Age
2500,8.341,18.383,0.353,21.713,20.052,18.029,17.366,17.501,17.962,18.389,19.113,22.638,19.096,17.447,17.853,17.834,17.864,18.291,17.319,17.876,18.287,17.316,12330000000
2750,8.341,17.968,0.159,21.278,19.741,17.81,17.065,16.875,17.296,17.775,18.331,22.183,18.829,17.224,17.283,17.25,17.5,18.063,16.833,17.512,18.058,16.838,12090000000
3000,8.341,17.59,-0.004,20.863,19.436,17.594,16.802,16.381,16.708,17.213,17.648,21.753,18.567,17.022,16.842,16.769,17.179,17.845,16.434,17.191,17.841,16.443,11850000000
3250,8.34,17.242,-0.136,20.435,19.118,17.378,16.573,16.001,16.164,16.662,17.004,21.315,18.294,16.835,16.504,16.378,16.901,17.63,16.112,16.912,17.626,16.121,11600000000
3500,8.34,16.92,-0.247,19.994,18.806,17.167,16.369,15.72,15.65,16.108,16.384,20.869,18.03,16.652,16.248,16.074,16.664,17.418,15.856,16.673,17.414,15.864,11340000000
3750,8.34,16.62,-0.318,19.526,18.468,16.938,16.173,15.505,15.205,15.566,15.775,20.397,17.741,16.46,16.04,15.843,16.448,17.187,15.647,16.456,17.184,15.654,11030000000
4000,8.34,16.339,-0.356,19.028,18.106,16.695,15.975,15.319,14.845,15.053,15.195,19.895,17.432,16.256,15.852,15.653,16.238,16.94,15.458,16.246,16.937,15.464,10590000000
4250,8.339,16.075,-0.365,18.492,17.723,16.44,15.771,15.143,14.578,14.596,14.659,19.354,17.107,16.041,15.668,15.481,16.024,16.677,15.276,16.031,16.673,15.281,10120000000
4500,8.339,15.825,-0.343,17.92,17.319,16.169,15.553,14.962,14.383,14.225,14.234,18.776,16.762,15.811,15.476,15.311,15.797,16.393,15.086,15.804,16.39,15.092,9620000000
4750,8.338,15.589,-0.298,17.337,16.907,15.887,15.324,14.774,14.225,13.96,13.916,18.186,16.408,15.569,15.275,15.136,15.557,16.094,14.889,15.564,16.091,14.895,9050000000
5000,8.337,15.364,-0.239,16.774,16.504,15.603,15.092,14.584,14.08,13.777,13.698,17.617,16.057,15.325,15.072,14.961,15.313,15.792,14.69,15.32,15.789,14.696,8395000000
5250,8.336,15.149,-0.186,16.252,16.13,15.335,14.87,14.403,13.947,13.642,13.557,17.089,15.728,15.092,14.878,14.794,15.078,15.504,14.5,15.085,15.501,14.505,7430000000
5500,8.334,14.942,-0.142,15.769,15.785,15.084,14.663,14.232,13.821,13.529,13.451,16.602,15.423,14.875,14.695,14.636,14.856,15.233,14.321,14.862,15.23,14.326,6214000000
6000,8.33,14.555,-0.099,14.927,15.201,14.654,14.305,13.938,13.604,13.344,13.288,15.754,14.904,14.501,14.381,14.364,14.468,14.76,14.013,14.475,14.757,14.018,4503000000
6500,8.328,14.202,-0.103,14.281,14.74,14.304,14.014,13.7,13.427,13.196,13.163,15.109,14.488,14.197,14.126,14.143,14.149,14.375,13.762,14.156,14.371,13.767,3679000000
7000,8.326,13.875,-0.129,13.796,14.363,14.005,13.763,13.492,13.275,13.073,13.059,14.626,14.14,13.935,13.905,13.952,13.873,14.049,13.545,13.881,14.045,13.55,3001000000
