#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,112000000,0.090000004,0.09,-2.746,3.4306,4.813,0,0,0.545,0,0,-1,-2.99E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.635,13.117,15.466,11.826
0.008,112000000,0.09233892,0.092,-2.728,3.4328,4.815,0,0,0.545,0,0,-1,-3.06E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.591,13.049,15.378,11.761
0.008,112000000,0.09945064,0.099,-2.674,3.4397,4.82,0,0,0.545,0,0,-1,-3.32E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.454,12.837,15.102,11.561
0.008,112000000,0.100000002,0.1,-2.67,3.4403,4.821,0,0,0.545,0,0,-1,-3.35E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.444,12.82,15.08,11.546
0.008,112000000,0.104045555,0.104,-2.642,3.4437,4.825,0,0,0.545,0,0,-1,-3.48E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.376,12.714,14.943,11.446
0.008,112000000,0.115347222,0.115,-2.568,3.4531,4.832,0,0,0.545,0,0,-1,-3.88E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.19,12.446,14.537,11.199
0.008,112000000,0.120000005,0.12,-2.539,3.4569,4.836,0,0,0.545,0,0,-1,-4.05E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.118,12.341,14.377,11.103
0.008,112000000,0.123093501,0.123,-2.522,3.459,4.838,0,0,0.545,0,0,-1,-4.15E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,11.075,12.28,14.284,11.047
0.008,112000000,0.140000001,0.14,-2.428,3.4702,4.845,0,0,0.545,0,0,-1,-4.8E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.84,11.961,13.797,10.758
0.008,112000000,0.147370085,0.147,-2.393,3.4742,4.848,0,0,0.545,0,0,-1,-5.05E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.753,11.844,13.625,10.652
0.008,112000000,0.159999996,0.16,-2.334,3.4807,4.851,0,0,0.545,0,0,-1,-5.53E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.605,11.648,13.344,10.474
0.008,112000000,0.181280121,0.181,-2.249,3.4895,4.856,0,0,0.545,0,0,-1,-6.29E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.393,11.371,12.959,10.221
0.008,112000000,0.200000003,0.2,-2.18,3.4965,4.857,0,0,0.545,0,0,-1,-7.01E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,10.219,11.147,12.657,10.017
0.008,112000000,0.24067536,0.241,-2.053,3.5084,4.859,0,0,0.545,0,0,-1,-8.54E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.903,10.749,12.141,9.652
0.008,112000000,0.25,0.25,-2.026,3.5109,4.858,0,0,0.545,0,0,-1,-8.92E-16,0,0.7289,0.2631,0.001439,0.0003881,0.00352,-1,0.008,9.836,10.665,12.034,9.574
